order,batch_id,mount,bortle,telescope,session_date,filter,exposure,file_path,ra,dec
1,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-202820.fit,11.8875,42.257222
2,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-202759.fit,11.8875,42.257222
3,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-202841.fit,11.8875,42.257222
4,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-202902.fit,11.8875,42.257222
5,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-202923.fit,11.8875,42.257222
6,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-203058.fit,11.116665,41.628056
7,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-203119.fit,11.116665,41.628056
8,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-203201.fit,11.116665,41.628056
9,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-203222.fit,11.116665,41.628056
10,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-203250.fit,11.116665,41.628333
11,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-203311.fit,11.116665,41.628333
12,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-203332.fit,11.116665,41.628333
13,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-203353.fit,11.116665,41.628333
14,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-203414.fit,11.116665,41.628333
15,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-203442.fit,11.116665,41.628333
16,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-203503.fit,11.116665,41.628333
17,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-203524.fit,11.116665,41.628333
18,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-203545.fit,11.116665,41.628333
19,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-203606.fit,11.116665,41.628333
20,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-203634.fit,11.116665,41.628333
21,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-203716.fit,11.116665,41.628333
22,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-203655.fit,11.116665,41.628333
23,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-203737.fit,11.116665,41.628333
24,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-203826.fit,11.116665,41.628333
25,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-203847.fit,11.116665,41.628333
26,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-203930.fit,11.116665,41.628333
27,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-203908.fit,11.116665,41.628333
28,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-203951.fit,11.116665,41.628333
29,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-204020.fit,11.116665,41.628333
30,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-204102.fit,11.116665,41.628333
31,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-204123.fit,11.116665,41.628333
32,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-204041.fit,11.116665,41.628333
33,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-204214.fit,11.116665,41.628333
34,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-204235.fit,11.116665,41.628333
35,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-204256.fit,11.116665,41.628333
36,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-204317.fit,11.116665,41.628333
37,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-204338.fit,11.116665,41.628333
38,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-204408.fit,11.116665,41.628333
39,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-204429.fit,11.116665,41.628333
40,S50_787791d8_2025-11-20_IRCUT,ALTZ,Unknown,S50_787791d8,2025-11-20,IRCUT,20.0,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\alllights\Seestar S50\Light_M 31_20.0s_IRCUT_20251120-204450.fit,11.116665,41.628333
