index_i,index_j,tile_i,tile_j,area_sqdeg,frac_of_i,frac_of_j,pair_strength_min,pair_strength_avg,center_dist_deg,weight_area,weight_strength,weight_hybrid,neighbors_raw_i,neighbors_raw_j,neighbors_kept_i,neighbors_kept_j,kept_final,is_bridge,bbox_touch
138,176,master_tile_138.fits,master_tile_176.fits,0.57793720,0.955880,0.954927,0.954927,0.955404,0.036649,0.57793720,0.954927,0.55188780,52,54,9,10,1,0,1
47,73,master_tile_047.fits,master_tile_073.fits,0.48843725,0.947373,0.947757,0.947373,0.947565,0.023841,0.48843725,0.947373,0.46273213,73,69,10,8,1,0,1
74,124,master_tile_074.fits,master_tile_124.fits,0.56736701,0.929864,0.929904,0.929864,0.929884,0.035020,0.56736701,0.929864,0.52757435,24,32,9,10,1,0,1
79,114,master_tile_079.fits,master_tile_114.fits,0.56078574,0.914132,0.947950,0.914132,0.931041,0.059874,0.56078574,0.914132,0.51263224,78,76,9,10,1,0,1
38,133,master_tile_038.fits,master_tile_133.fits,0.65858174,0.945731,0.912520,0.912520,0.929125,0.071797,0.65858174,0.912520,0.60096872,80,76,11,19,1,0,1
49,56,master_tile_049.fits,master_tile_056.fits,0.45942394,0.905336,0.906430,0.905336,0.905883,0.052938,0.45942394,0.905336,0.41593281,77,77,11,11,1,0,1
128,135,master_tile_128.fits,master_tile_135.fits,0.62141341,0.905248,0.904772,0.904772,0.905010,0.052484,0.62141341,0.904772,0.56223765,65,65,13,14,1,0,1
96,103,master_tile_096.fits,master_tile_103.fits,0.53975304,0.897310,0.910300,0.897310,0.903805,0.057083,0.53975304,0.897310,0.48432566,88,85,11,11,1,0,1
86,177,master_tile_086.fits,master_tile_177.fits,0.52144873,0.877702,0.873738,0.873738,0.875720,0.124549,0.52144873,0.873738,0.45560933,95,97,9,10,1,0,1
78,168,master_tile_078.fits,master_tile_168.fits,0.53789100,0.871355,0.930310,0.871355,0.900833,0.045774,0.53789100,0.871355,0.46869379,83,78,10,11,1,0,1
81,174,master_tile_081.fits,master_tile_174.fits,0.59309664,0.871194,0.890198,0.871194,0.880696,0.061763,0.59309664,0.871194,0.51670245,92,89,8,8,1,0,1
