index,tile_name,path,raw_neighbors,kept_neighbors,bridge_neighbors,raw_best_local_overlap_frac,raw_mean_local_overlap_frac,kept_best_local_overlap_frac,kept_mean_local_overlap_frac,raw_best_pair_strength,raw_mean_pair_strength,kept_best_pair_strength,kept_mean_pair_strength,raw_connectivity,kept_connectivity,retention_ratio,radial_distance_deg,center_x_deg,center_y_deg,area_sqdeg,width_deg,height_deg,pixel_scale_arcsec,pa_deg,filter,exposure_s,date_obs,date_ord,days_from_median,stack_count,stack_weight_proxy,anchor_score_raw,anchor_score_kept,is_isolated_raw,is_isolated_kept,is_low_neighbor_raw,is_low_neighbor_kept,is_low_best_overlap_raw,is_low_best_overlap_kept,is_peripheral,is_date_outlier
0,master_tile_000.fits,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\out\4-5-0\zemosaic_temp_master_tiles\master_tile_000.fits,55,8,0,0.923183,0.281724,0.923183,0.789052,0.730159,0.208469,0.730159,0.581661,6.64746050,2.70810575,0.145455,1.109871,0.111805,1.104225,0.42901235,0.437798,1.019451,2.373311,269.2194,IRCUT,,2025-09-02T09:48:03.433975,20333.408373,0.007,,1.000000,6.64746050,2.70810575,0,0,0,1,0,0,0,0
1,master_tile_001.fits,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\out\4-5-0\zemosaic_temp_master_tiles\master_tile_001.fits,54,8,0,0.920875,0.315164,0.920875,0.723453,0.711725,0.241640,0.711725,0.525035,7.10171339,2.41508806,0.148148,0.842988,0.373356,-0.755801,0.41728518,0.442125,1.026443,2.374066,268.2601,IRCUT,,2025-07-04T07:49:00.998930,20273.325706,-60.076,,1.000000,7.10171339,2.41508806,0,0,0,1,0,0,0,0
2,master_tile_002.fits,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\out\4-5-0\zemosaic_temp_master_tiles\master_tile_002.fits,50,8,0,0.919854,0.312036,0.919854,0.760530,0.676078,0.234949,0.676078,0.584894,6.67050791,2.60130116,0.160000,0.899496,-0.377685,0.816362,0.42754743,0.448485,1.024817,2.374160,268.5125,IRCUT,,2025-07-04T08:29:10.539528,20273.353594,-60.048,,1.000000,6.67050791,2.60130116,0,0,0,1,0,0,0,0
3,master_tile_003.fits,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\out\4-5-0\zemosaic_temp_master_tiles\master_tile_003.fits,46,9,0,0.884609,0.345128,0.884609,0.736941,0.704879,0.256334,0.704879,0.548523,6.78342884,2.83390887,0.195652,0.960669,-0.517301,0.809497,0.42727810,0.447810,1.024513,2.373833,268.5399,IRCUT,,2025-07-04T08:31:58.300441,20273.355536,-60.046,,1.000000,6.78342884,2.83390887,0,0,1,0,0,0,0,0
4,master_tile_004.fits,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\out\4-5-0\zemosaic_temp_master_tiles\master_tile_004.fits,47,8,0,0.817518,0.287889,0.817518,0.716557,0.699887,0.203115,0.699887,0.472166,5.61770559,2.38000347,0.170213,1.110473,-0.158361,-1.099124,0.41518018,0.434336,1.024296,2.374122,268.5730,IRCUT,,2025-07-04T08:40:21.140473,20273.361356,-60.040,,1.000000,5.61770559,2.38000347,0,0,0,1,0,0,0,0
5,master_tile_005.fits,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\out\4-5-0\zemosaic_temp_master_tiles\master_tile_005.fits,60,8,0,0.863243,0.322796,0.863243,0.754471,0.687938,0.226534,0.687938,0.526829,8.16722578,2.54523402,0.133333,0.885077,-0.884197,-0.039449,0.42169200,0.455593,1.029614,2.373817,267.8164,IRCUT,,2025-07-05T07:35:18.133524,20274.316182,-59.085,,1.000000,8.16722578,2.54523402,0,0,0,1,0,0,0,0
6,master_tile_006.fits,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\out\4-5-0\zemosaic_temp_master_tiles\master_tile_006.fits,21,9,0,0.981529,0.459219,0.981529,0.757524,0.701851,0.335308,0.701851,0.535078,4.04112896,2.85695157,0.428571,1.287663,-1.222523,-0.404368,0.41904794,0.431880,1.021172,2.373009,268.9561,IRCUT,,2025-08-27T09:50:00.702521,20327.409730,-5.992,,1.000000,4.04112896,2.85695157,0,0,1,0,0,0,1,0
7,master_tile_007.fits,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\out\4-5-0\zemosaic_temp_master_tiles\master_tile_007.fits,9,8,0,0.841813,0.439937,0.841813,0.492598,0.575819,0.300254,0.575819,0.336426,1.68247180,1.67454590,0.888889,1.384966,1.295784,0.488953,0.42492736,0.438242,1.021162,2.373228,268.9507,IRCUT,,2025-08-27T09:55:59.331845,20327.413881,-5.987,,1.000000,1.68247180,1.67454590,0,0,1,1,0,0,1,0
8,master_tile_008.fits,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\out\4-5-0\zemosaic_temp_master_tiles\master_tile_008.fits,36,8,0,0.904930,0.316912,0.904930,0.745668,0.633313,0.228663,0.633313,0.499870,4.75447090,2.48597563,0.222222,1.278385,-1.087997,-0.671215,0.41673613,0.431126,1.019632,2.373351,268.8950,IRCUT,,2025-08-27T11:00:44.843904,20327.458852,-5.942,,1.000000,4.75447090,2.48597563,0,0,1,1,0,0,1,0
9,master_tile_009.fits,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\out\4-5-0\zemosaic_temp_master_tiles\master_tile_009.fits,86,9,0,1.000000,0.272650,1.000000,0.805939,0.696587,0.203089,0.696587,0.576551,9.89469806,3.06086257,0.104651,0.084531,0.084061,-0.008907,0.42198692,0.432421,1.020499,2.373975,269.0834,IRCUT,,2025-07-24T08:46:43.900686,20293.365786,-40.035,,1.000000,9.89469806,3.06086257,0,0,0,0,0,0,0,0
10,master_tile_010.fits,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\out\4-5-0\zemosaic_temp_master_tiles\master_tile_010.fits,11,8,0,0.813777,0.403291,0.813777,0.503073,0.532984,0.293913,0.532984,0.364383,1.86081119,1.68815412,0.727273,1.528408,-1.431972,-0.534310,0.41946054,0.418834,1.017437,2.376322,269.6653,IRCUT,,2025-11-18T00:32:52.675327,20410.022832,76.622,,1.000000,1.86081119,1.68815412,0,0,1,1,0,0,1,0
11,master_tile_011.fits,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\out\4-5-0\zemosaic_temp_master_tiles\master_tile_011.fits,47,8,0,0.994156,0.283994,0.994156,0.713413,0.706610,0.214633,0.706610,0.505021,5.54462644,2.37080711,0.170213,0.913545,0.520632,-0.750670,0.41539878,0.440139,1.026349,2.374299,268.2506,IRCUT,,2025-07-04T07:50:03.818961,20273.326433,-60.075,,1.000000,5.54462644,2.37080711,0,0,0,1,0,0,0,0
