index_i,index_j,tile_i,tile_j,area_sqdeg,frac_of_i,frac_of_j,pair_strength_min,pair_strength_avg,center_dist_deg,neighbors_i,neighbors_j,bbox_touch
138,176,master_tile_138.fits,master_tile_176.fits,0.57793720,0.955880,0.954927,0.954927,0.955404,0.036649,52,54,1
47,73,master_tile_047.fits,master_tile_073.fits,0.48843725,0.947373,0.947757,0.947373,0.947565,0.023841,73,69,1
74,124,master_tile_074.fits,master_tile_124.fits,0.56736701,0.929864,0.929904,0.929864,0.929884,0.035020,24,32,1
79,114,master_tile_079.fits,master_tile_114.fits,0.56078574,0.914132,0.947950,0.914132,0.931041,0.059874,78,76,1
38,133,master_tile_038.fits,master_tile_133.fits,0.65858174,0.945731,0.912520,0.912520,0.929125,0.071797,80,76,1
49,56,master_tile_049.fits,master_tile_056.fits,0.45942394,0.905336,0.906430,0.905336,0.905883,0.052938,77,77,1
128,135,master_tile_128.fits,master_tile_135.fits,0.62141341,0.905248,0.904772,0.904772,0.905010,0.052484,65,65,1
96,103,master_tile_096.fits,master_tile_103.fits,0.53975304,0.897310,0.910300,0.897310,0.903805,0.057083,88,85,1
86,177,master_tile_086.fits,master_tile_177.fits,0.52144873,0.877702,0.873738,0.873738,0.875720,0.124549,95,97,1
78,168,master_tile_078.fits,master_tile_168.fits,0.53789100,0.871355,0.930310,0.871355,0.900833,0.045774,83,78,1
81,174,master_tile_081.fits,master_tile_174.fits,0.59309664,0.871194,0.890198,0.871194,0.880696,0.061763,92,89,1
12,82,master_tile_012.fits,master_tile_082.fits,0.54049215,0.905881,0.870044,0.870044,0.887963,0.105859,22,23,1
88,153,master_tile_088.fits,master_tile_153.fits,0.62105019,0.895979,0.864614,0.864614,0.880296,0.080359,76,80,1
27,43,master_tile_027.fits,master_tile_043.fits,0.53360070,0.894941,0.863852,0.863852,0.879397,0.053577,48,53,1
41,66,master_tile_041.fits,master_tile_066.fits,0.52871905,0.861580,0.896361,0.861580,0.878970,0.128159,48,48,1
100,173,master_tile_100.fits,master_tile_173.fits,0.55137307,0.922756,0.859903,0.859903,0.891330,0.100010,91,90,1
99,160,master_tile_099.fits,master_tile_160.fits,0.52250391,0.858875,0.859939,0.858875,0.859407,0.089574,60,55,1
121,143,master_tile_121.fits,master_tile_143.fits,0.47930302,0.946497,0.855696,0.855696,0.901096,0.010795,83,83,1
169,173,master_tile_169.fits,master_tile_173.fits,0.59864336,0.854317,0.933624,0.854317,0.893970,0.035870,95,90,1
79,153,master_tile_079.fits,master_tile_153.fits,0.61240460,0.998276,0.852577,0.852577,0.925426,0.027250,78,80,1
77,164,master_tile_077.fits,master_tile_164.fits,0.60641122,0.851662,0.966001,0.851662,0.908832,0.024810,52,50,1
62,86,master_tile_062.fits,master_tile_086.fits,0.50511746,0.852861,0.850213,0.850213,0.851537,0.070007,92,95,1
95,148,master_tile_095.fits,master_tile_148.fits,0.49864484,0.849798,0.936359,0.849798,0.893078,0.114628,56,49,1
65,131,master_tile_065.fits,master_tile_131.fits,0.56362437,0.848473,0.911059,0.848473,0.879766,0.147584,58,60,1
52,144,master_tile_052.fits,master_tile_144.fits,0.58762489,0.957215,0.846929,0.846929,0.902072,0.047799,56,56,1
45,180,master_tile_045.fits,master_tile_180.fits,0.50612188,0.981691,0.846389,0.846389,0.914040,0.040122,86,90,1
162,190,master_tile_162.fits,master_tile_190.fits,0.61165436,0.840436,0.845547,0.840436,0.842992,0.092010,62,59,1
155,191,master_tile_155.fits,master_tile_191.fits,0.60574786,0.836679,0.835460,0.835460,0.836069,0.103048,110,109,1
149,196,master_tile_149.fits,master_tile_196.fits,0.49814606,0.833589,0.840184,0.833589,0.836887,0.054598,60,60,1
18,146,master_tile_018.fits,master_tile_146.fits,0.42931741,0.832695,0.896245,0.832695,0.864470,0.066109,61,63,1
29,186,master_tile_029.fits,master_tile_186.fits,0.49027871,0.832057,0.908074,0.832057,0.870066,0.079202,70,64,1
159,184,master_tile_159.fits,master_tile_184.fits,0.60553006,0.973643,0.830944,0.830944,0.902293,0.034905,78,81,1
104,105,master_tile_104.fits,master_tile_105.fits,0.42000860,0.829509,0.855979,0.829509,0.842744,0.019661,63,63,1
68,82,master_tile_068.fits,master_tile_082.fits,0.51502042,0.829049,0.829042,0.829042,0.829045,0.085726,17,23,1
21,108,master_tile_021.fits,master_tile_108.fits,0.41775615,0.828699,0.845172,0.828699,0.836936,0.077023,70,66,1
20,126,master_tile_020.fits,master_tile_126.fits,0.48805901,0.965994,0.828465,0.828465,0.897229,0.109432,68,66,1
82,130,master_tile_082.fits,master_tile_130.fits,0.55929776,0.900316,0.827246,0.827246,0.863781,0.074903,23,27,1
76,113,master_tile_076.fits,master_tile_113.fits,0.50426635,0.853934,0.826548,0.826548,0.840241,0.028202,60,58,1
