index,tile_name,path,neighbors,best_local_overlap_frac,mean_local_overlap_frac,best_pair_strength,mean_pair_strength,total_pair_strength,radial_distance_deg,center_x_deg,center_y_deg,area_sqdeg,width_deg,height_deg,pixel_scale_arcsec,pa_deg,filter,exposure_s,date_obs,stack_count,is_isolated,is_low_neighbor,is_low_best_overlap,is_peripheral
0,master_tile_000.fits,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\out\4-5-0\zemosaic_temp_master_tiles\master_tile_000.fits,55,0.923183,0.281724,0.730159,0.208469,11.465819,1.109871,0.111805,1.104225,0.42901235,0.437798,1.019451,2.373311,269.2194,IRCUT,,2025-09-02T09:48:03.433975,,0,0,0,0
1,master_tile_001.fits,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\out\4-5-0\zemosaic_temp_master_tiles\master_tile_001.fits,54,0.920875,0.315164,0.711725,0.241640,13.048580,0.842988,0.373356,-0.755801,0.41728518,0.442125,1.026443,2.374066,268.2601,IRCUT,,2025-07-04T07:49:00.998930,,0,0,0,0
2,master_tile_002.fits,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\out\4-5-0\zemosaic_temp_master_tiles\master_tile_002.fits,50,0.919854,0.312036,0.676078,0.234949,11.747465,0.899496,-0.377685,0.816362,0.42754743,0.448485,1.024817,2.374160,268.5125,IRCUT,,2025-07-04T08:29:10.539528,,0,0,0,0
3,master_tile_003.fits,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\out\4-5-0\zemosaic_temp_master_tiles\master_tile_003.fits,46,0.884609,0.345128,0.704879,0.256334,11.791385,0.960669,-0.517301,0.809497,0.42727810,0.447810,1.024513,2.373833,268.5399,IRCUT,,2025-07-04T08:31:58.300441,,0,1,0,0
4,master_tile_004.fits,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\out\4-5-0\zemosaic_temp_master_tiles\master_tile_004.fits,47,0.817518,0.287889,0.699887,0.203115,9.546391,1.110473,-0.158361,-1.099124,0.41518018,0.434336,1.024296,2.374122,268.5730,IRCUT,,2025-07-04T08:40:21.140473,,0,0,0,0
5,master_tile_005.fits,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\out\4-5-0\zemosaic_temp_master_tiles\master_tile_005.fits,60,0.863243,0.322796,0.687938,0.226534,13.592028,0.885077,-0.884197,-0.039449,0.42169200,0.455593,1.029614,2.373817,267.8164,IRCUT,,2025-07-05T07:35:18.133524,,0,0,0,0
6,master_tile_006.fits,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\out\4-5-0\zemosaic_temp_master_tiles\master_tile_006.fits,21,0.981529,0.459219,0.701851,0.335308,7.041461,1.287663,-1.222523,-0.404368,0.41904794,0.431880,1.021172,2.373009,268.9561,IRCUT,,2025-08-27T09:50:00.702521,,0,1,0,1
7,master_tile_007.fits,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\out\4-5-0\zemosaic_temp_master_tiles\master_tile_007.fits,9,0.841813,0.439937,0.575819,0.300254,2.702287,1.384966,1.295784,0.488953,0.42492736,0.438242,1.021162,2.373228,268.9507,IRCUT,,2025-08-27T09:55:59.331845,,0,1,0,1
8,master_tile_008.fits,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\out\4-5-0\zemosaic_temp_master_tiles\master_tile_008.fits,36,0.904930,0.316912,0.633313,0.228663,8.231854,1.278385,-1.087997,-0.671215,0.41673613,0.431126,1.019632,2.373351,268.8950,IRCUT,,2025-08-27T11:00:44.843904,,0,1,0,1
9,master_tile_009.fits,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\out\4-5-0\zemosaic_temp_master_tiles\master_tile_009.fits,86,1.000000,0.272650,0.696587,0.203089,17.465644,0.084531,0.084061,-0.008907,0.42198692,0.432421,1.020499,2.373975,269.0834,IRCUT,,2025-07-24T08:46:43.900686,,0,0,0,0
10,master_tile_010.fits,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\out\4-5-0\zemosaic_temp_master_tiles\master_tile_010.fits,11,0.813777,0.403291,0.532984,0.293913,3.233041,1.528408,-1.431972,-0.534310,0.41946054,0.418834,1.017437,2.376322,269.6653,IRCUT,,2025-11-18T00:32:52.675327,,0,1,0,1
11,master_tile_011.fits,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\out\4-5-0\zemosaic_temp_master_tiles\master_tile_011.fits,47,0.994156,0.283994,0.706610,0.214633,10.087738,0.913545,0.520632,-0.750670,0.41539878,0.440139,1.026349,2.374299,268.2506,IRCUT,,2025-07-04T07:50:03.818961,,0,0,0,0
12,master_tile_012.fits,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\out\4-5-0\zemosaic_temp_master_tiles\master_tile_012.fits,22,0.905881,0.358338,0.870044,0.337869,7.433109,1.208970,1.114465,0.468591,0.59664793,0.534123,1.192386,2.373261,268.5964,IRCUT,,2025-09-02T12:15:59.025408,,0,1,0,0
13,master_tile_013.fits,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\out\4-5-0\zemosaic_temp_master_tiles\master_tile_013.fits,49,0.973473,0.286913,0.759388,0.273809,13.416629,1.323066,-0.662504,-1.145248,0.60466594,0.497408,1.227883,2.372039,270.1422,IRCUT,,2025-11-19T21:22:27.447481,,0,0,0,1
14,master_tile_014.fits,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\out\4-5-0\zemosaic_temp_master_tiles\master_tile_014.fits,95,0.853775,0.282206,0.792421,0.247530,23.515316,0.236518,0.169209,-0.165254,0.50738317,0.513225,1.020034,2.372861,269.2719,IRCUT,,2025-09-02T09:18:20.226504,,0,0,0,0
15,master_tile_015.fits,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\out\4-5-0\zemosaic_temp_master_tiles\master_tile_015.fits,57,0.978894,0.277677,0.706610,0.243898,13.902178,0.819132,0.552742,-0.604527,0.50446990,0.530543,1.030139,2.374211,268.1272,IRCUT,,2025-07-04T07:17:14.772579,,0,0,0,0
16,master_tile_016.fits,C:\Users\TRISTAN\Desktop\astrophoto\andromeda\out\4-5-0\zemosaic_temp_master_tiles\master_tile_016.fits,62,0.906239,0.295269,0.809957,0.259945,16.116613,0.774815,0.122104,-0.765134,0.50321293,0.526220,1.028525,2.374112,268.2812,IRCUT,,2025-07-04T07:46:55.366146,,0,0,0,0
